epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.748,1.97725,3.50202,2.00067,0.27189,0.11736,0.06067,0.02108,2.51063,16.2888,2.40335,0.000369494,0.000369494,0.000369494
2,279.57,2.1424,3.26441,2.15771,0.1007,0.11069,0.05622,0.0233,2.15535,8.44647,2.1265,0.000725178,0.000725178,0.000725178
3,417.772,2.1026,3.30586,2.14632,0.24907,0.10809,0.0466,0.01621,2.24767,31.2491,2.18325,0.0010662,0.0010662,0.0010662
4,555.356,2.08151,3.21671,2.10867,0.14478,0.20639,0.11884,0.04383,1.95648,3.96396,1.88124,0.00104501,0.00104501,0.00104501
5,692.942,1.98977,3.03675,2.02066,0.19107,0.1578,0.09497,0.03434,2.02196,5.73637,1.98349,0.00102301,0.00102301,0.00102301
6,830.28,1.93795,2.88334,1.98764,0.22965,0.25431,0.2099,0.09008,1.75352,2.75535,1.72475,0.00100101,0.00100101,0.00100101
7,967.841,1.85997,2.78542,1.91773,0.24903,0.23266,0.19244,0.08361,1.70222,3.10498,1.70034,0.000979013,0.000979013,0.000979013
8,1105.05,1.83062,2.68879,1.89399,0.28992,0.26444,0.26291,0.11809,1.66102,2.68749,1.67185,0.000957015,0.000957015,0.000957015
9,1242.74,1.78228,2.57389,1.8496,0.34564,0.31494,0.25969,0.11521,1.66619,2.83804,1.63592,0.000935018,0.000935018,0.000935018
10,1380.23,1.76639,2.50297,1.82653,0.3449,0.34207,0.28648,0.13507,1.60199,2.62956,1.57957,0.00091302,0.00091302,0.00091302
11,1517.54,1.76008,2.44388,1.82034,0.32805,0.3621,0.31558,0.15041,1.56848,2.54482,1.57233,0.000891022,0.000891022,0.000891022
12,1655.29,1.71391,2.39474,1.81479,0.3787,0.37383,0.32943,0.15075,1.52763,2.48637,1.52828,0.000869024,0.000869024,0.000869024
13,1793.04,1.68616,2.29765,1.75813,0.38336,0.3642,0.36291,0.17849,1.47784,2.12928,1.48462,0.000847026,0.000847026,0.000847026
14,1930.63,1.65581,2.23603,1.74196,0.40132,0.33219,0.3786,0.18357,1.48309,2.40014,1.48823,0.000825029,0.000825029,0.000825029
15,2068.16,1.66565,2.25763,1.75091,0.43801,0.44194,0.44169,0.21028,1.50425,1.9944,1.50833,0.000803031,0.000803031,0.000803031
16,2205.59,1.62011,2.14731,1.7131,0.43543,0.45749,0.43811,0.22451,1.42206,2.21212,1.46012,0.000781033,0.000781033,0.000781033
17,2343.21,1.61691,2.09223,1.68809,0.50612,0.44704,0.45053,0.23569,1.45616,1.90113,1.47043,0.000759035,0.000759035,0.000759035
18,2480.74,1.59667,2.06063,1.6851,0.56684,0.4115,0.4364,0.21765,1.44704,2.32547,1.43578,0.000737037,0.000737037,0.000737037
19,2617.88,1.57955,2.0567,1.67645,0.43457,0.52389,0.47695,0.23655,1.45581,1.92946,1.4445,0.00071504,0.00071504,0.00071504
20,2755.25,1.58219,1.99642,1.6668,0.51863,0.5177,0.51207,0.26132,1.37207,1.76225,1.41569,0.000693042,0.000693042,0.000693042
21,2892.83,1.56652,1.96085,1.65587,0.5156,0.55815,0.53045,0.28181,1.40516,1.60485,1.40328,0.000671044,0.000671044,0.000671044
22,3030.7,1.55078,1.97051,1.63925,0.51051,0.54606,0.52133,0.26745,1.37094,1.74355,1.4019,0.000649046,0.000649046,0.000649046
23,3168.27,1.54887,1.91888,1.65299,0.58709,0.50716,0.53782,0.28481,1.37922,1.87173,1.40844,0.000627048,0.000627048,0.000627048
24,3305.73,1.52505,1.89147,1.6288,0.54332,0.53898,0.52329,0.26582,1.36957,1.80408,1.37485,0.000605051,0.000605051,0.000605051
25,3443.02,1.51583,1.84955,1.62132,0.61573,0.5356,0.5604,0.29025,1.38149,1.6788,1.40045,0.000583053,0.000583053,0.000583053
26,3580.46,1.49047,1.8147,1.61115,0.56547,0.58338,0.55455,0.29399,1.38069,1.57516,1.38005,0.000561055,0.000561055,0.000561055
27,3717.91,1.48511,1.79716,1.60165,0.53904,0.55989,0.56153,0.29253,1.33434,1.87584,1.35052,0.000539057,0.000539057,0.000539057
28,3855.29,1.48546,1.78096,1.61147,0.62838,0.551,0.59433,0.32567,1.32265,1.50887,1.35511,0.000517059,0.000517059,0.000517059
29,3993.02,1.4679,1.71666,1.5944,0.63024,0.55968,0.61774,0.33409,1.31485,1.53795,1.35128,0.000495062,0.000495062,0.000495062
30,4130.61,1.4511,1.71863,1.58932,0.58788,0.59529,0.61064,0.32275,1.32883,1.69345,1.35869,0.000473064,0.000473064,0.000473064
31,4267.94,1.44197,1.67577,1.57204,0.5948,0.6142,0.62855,0.35316,1.27437,1.59288,1.3285,0.000451066,0.000451066,0.000451066
32,4405.69,1.44212,1.63997,1.56872,0.661,0.57801,0.60784,0.331,1.3088,1.55017,1.34745,0.000429068,0.000429068,0.000429068
33,4542.94,1.43689,1.58252,1.55622,0.62545,0.61718,0.63768,0.35348,1.29552,1.48564,1.32715,0.00040707,0.00040707,0.00040707
34,4681.18,1.4168,1.59467,1.54409,0.73711,0.57783,0.67169,0.36735,1.28682,1.45384,1.30699,0.000385073,0.000385073,0.000385073
35,4819.2,1.41145,1.59067,1.53544,0.69007,0.6386,0.68301,0.38341,1.27028,1.35729,1.31966,0.000363075,0.000363075,0.000363075
