epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.894,1.85693,3.06428,1.90621,0.41049,0.20467,0.13893,0.05763,2.06878,8.51516,1.98445,0.00036966,0.00036966,0.00036966
2,328.648,1.96703,2.94189,2.02047,0.27854,0.18724,0.14485,0.05639,2.00835,5.79628,1.95152,0.000729528,0.000729528,0.000729528
3,490.296,1.93072,2.86053,2.00312,0.3762,0.20822,0.16886,0.06793,1.93115,3.70178,1.85512,0.00107892,0.00107892,0.00107892
4,651.798,1.8643,2.72867,1.93538,0.32653,0.30712,0.23958,0.10722,1.7817,6.63742,1.71262,0.00106386,0.00106386,0.00106386
5,813.074,1.78997,2.57313,1.86945,0.3438,0.32468,0.27675,0.12369,1.72531,3.39555,1.64196,0.00104815,0.00104815,0.00104815
6,974.362,1.71161,2.41061,1.81184,0.43255,0.35289,0.34384,0.1595,1.67474,2.72173,1.62672,0.00103244,0.00103244,0.00103244
7,1136.17,1.662,2.27042,1.7678,0.36039,0.42777,0.35404,0.16147,1.64746,2.22934,1.61328,0.00101672,0.00101672,0.00101672
8,1297.43,1.63925,2.18276,1.75341,0.42661,0.49402,0.44491,0.22852,1.51158,2.72279,1.45437,0.00100101,0.00100101,0.00100101
9,1458.77,1.57648,2.08311,1.71029,0.46735,0.44514,0.36973,0.17295,1.57785,2.70831,1.52375,0.000985298,0.000985298,0.000985298
10,1619.9,1.54957,2.02466,1.6832,0.55914,0.51529,0.50978,0.25786,1.43524,2.31507,1.43537,0.000969586,0.000969586,0.000969586
11,1781.27,1.52534,1.95546,1.66341,0.46379,0.48101,0.48583,0.25422,1.4531,2.16598,1.42863,0.000953873,0.000953873,0.000953873
12,1942.39,1.5042,1.86718,1.64108,0.5052,0.52626,0.5044,0.26343,1.39475,2.12284,1.42933,0.00093816,0.00093816,0.00093816
13,2103.86,1.49664,1.85263,1.64014,0.62438,0.49024,0.55389,0.27799,1.44223,2.14512,1.4454,0.000922447,0.000922447,0.000922447
14,2265.21,1.46233,1.78771,1.60251,0.5775,0.52199,0.55554,0.29537,1.40682,1.8562,1.43814,0.000906735,0.000906735,0.000906735
15,2426.35,1.43131,1.74101,1.58989,0.56814,0.5057,0.55425,0.29742,1.38431,1.94538,1.43439,0.000891022,0.000891022,0.000891022
16,2587.71,1.42604,1.70479,1.58519,0.57306,0.57083,0.59776,0.32288,1.38659,1.70021,1.40287,0.000875309,0.000875309,0.000875309
17,2748.95,1.42425,1.64959,1.55803,0.58433,0.59614,0.60853,0.32474,1.41716,1.55329,1.44129,0.000859597,0.000859597,0.000859597
18,2910.31,1.41481,1.63554,1.56581,0.61755,0.58996,0.63976,0.36635,1.30641,2.38607,1.34642,0.000843884,0.000843884,0.000843884
19,3071.59,1.37109,1.54418,1.53846,0.62467,0.59813,0.63106,0.33297,1.32121,1.55787,1.36689,0.000828171,0.000828171,0.000828171
20,3232.74,1.36062,1.53412,1.53126,0.66546,0.59872,0.63011,0.33984,1.33454,1.44057,1.36191,0.000812458,0.000812458,0.000812458
21,3394.02,1.33187,1.51538,1.50742,0.66459,0.64692,0.68555,0.38629,1.26536,1.37837,1.3316,0.000796746,0.000796746,0.000796746
22,3555.52,1.31475,1.46657,1.49183,0.68481,0.58129,0.66705,0.37415,1.28273,1.63492,1.3452,0.000781033,0.000781033,0.000781033
23,3716.7,1.30959,1.41281,1.49493,0.73402,0.65083,0.71539,0.39783,1.22317,1.33605,1.30574,0.00076532,0.00076532,0.00076532
24,3878.06,1.28791,1.41303,1.48144,0.67637,0.6541,0.69784,0.39128,1.25093,1.44104,1.32539,0.000749608,0.000749608,0.000749608
25,4039.42,1.27552,1.36435,1.47131,0.7083,0.65327,0.70736,0.41161,1.26075,1.4323,1.32041,0.000733895,0.000733895,0.000733895
26,4200.8,1.27201,1.34635,1.4708,0.71419,0.69313,0.73348,0.43076,1.26406,1.3129,1.32623,0.000718182,0.000718182,0.000718182
27,4362.32,1.25524,1.3202,1.4596,0.77074,0.66324,0.74394,0.42945,1.2426,1.21922,1.31643,0.000702469,0.000702469,0.000702469
28,4523.41,1.24298,1.29717,1.44575,0.69493,0.68883,0.70729,0.39957,1.29763,1.42528,1.33923,0.000686757,0.000686757,0.000686757
29,4684.62,1.22231,1.29784,1.44097,0.73263,0.69428,0.74291,0.44254,1.27852,1.32106,1.32444,0.000671044,0.000671044,0.000671044
30,4846.02,1.19781,1.22358,1.42,0.79568,0.64772,0.74348,0.42105,1.2481,1.41071,1.30206,0.000655331,0.000655331,0.000655331
31,5007.18,1.20573,1.23482,1.42192,0.70232,0.7281,0.74526,0.43648,1.24011,1.34024,1.3331,0.000639619,0.000639619,0.000639619
32,5168.24,1.19913,1.20971,1.4106,0.79741,0.6822,0.77766,0.46142,1.20666,1.30108,1.30756,0.000623906,0.000623906,0.000623906
33,5329.64,1.19089,1.19471,1.40549,0.82026,0.68068,0.78231,0.45414,1.25145,1.23439,1.28366,0.000608193,0.000608193,0.000608193
34,5490.84,1.16907,1.19113,1.39527,0.85061,0.674,0.78554,0.46053,1.22277,1.2134,1.2826,0.00059248,0.00059248,0.00059248
35,5652.1,1.14785,1.15321,1.38,0.7863,0.6956,0.79069,0.46565,1.20615,1.26623,1.28879,0.000576768,0.000576768,0.000576768
36,5813.52,1.13399,1.13865,1.37072,0.79912,0.68271,0.79766,0.4572,1.21864,1.24507,1.281,0.000561055,0.000561055,0.000561055
37,5974.83,1.1286,1.10194,1.36669,0.79842,0.73205,0.80248,0.48589,1.17854,1.25232,1.26553,0.000545342,0.000545342,0.000545342
38,6136.29,1.11289,1.0832,1.34982,0.79392,0.72313,0.79643,0.47984,1.20678,1.1355,1.27142,0.00052963,0.00052963,0.00052963
39,6297.47,1.0865,1.05222,1.34546,0.7642,0.74243,0.79175,0.47438,1.18102,1.16727,1.27348,0.000513917,0.000513917,0.000513917
40,6458.49,1.10209,1.05307,1.34316,0.77732,0.75506,0.80599,0.48974,1.15872,1.1176,1.2518,0.000498204,0.000498204,0.000498204
41,6619.91,1.08,1.02999,1.32356,0.7945,0.74574,0.80181,0.48156,1.16529,1.11835,1.26752,0.000482491,0.000482491,0.000482491
42,6780.97,1.06786,1.01278,1.32337,0.76978,0.75752,0.81171,0.49497,1.13578,1.09857,1.24832,0.000466779,0.000466779,0.000466779
43,6942.46,1.04878,0.98788,1.30311,0.81667,0.73625,0.81483,0.49468,1.18003,1.03044,1.24326,0.000451066,0.000451066,0.000451066
44,7103.77,1.041,0.98857,1.30742,0.81719,0.73321,0.81544,0.49881,1.14825,1.11893,1.22861,0.000435353,0.000435353,0.000435353
45,7264.94,1.01764,0.96324,1.30188,0.79206,0.74016,0.81213,0.50375,1.15125,1.17039,1.24236,0.000419641,0.000419641,0.000419641
46,7426.2,1.02519,0.95484,1.29714,0.83043,0.73223,0.813,0.50202,1.1424,0.9941,1.23228,0.000403928,0.000403928,0.000403928
47,7587.34,1.00186,0.92498,1.2778,0.83557,0.75876,0.83502,0.51168,1.14311,1.03608,1.24024,0.000388215,0.000388215,0.000388215
48,7748.47,0.99404,0.90501,1.28381,0.81315,0.77566,0.82996,0.51603,1.15097,1.00505,1.22974,0.000372502,0.000372502,0.000372502
49,7909.81,0.99172,0.91621,1.27395,0.83174,0.77876,0.83915,0.51176,1.12057,1.03384,1.20755,0.00035679,0.00035679,0.00035679
50,8071.08,0.96882,0.88574,1.25902,0.85183,0.77963,0.85047,0.52426,1.1194,1.05252,1.21249,0.000341077,0.000341077,0.000341077
51,8232.62,0.95426,0.87267,1.25333,0.8456,0.74458,0.84038,0.51919,1.13773,0.91635,1.23352,0.000325364,0.000325364,0.000325364
52,8393.61,0.95201,0.86945,1.24744,0.86763,0.72874,0.84565,0.52356,1.1209,0.95232,1.22486,0.000309652,0.000309652,0.000309652
53,8554.61,0.93146,0.84266,1.23593,0.85047,0.77591,0.85514,0.53399,1.12795,0.89389,1.229,0.000293939,0.000293939,0.000293939
54,8716.05,0.91701,0.83179,1.23063,0.82,0.77921,0.83467,0.52242,1.10726,0.95059,1.21646,0.000278226,0.000278226,0.000278226
55,8876.97,0.90642,0.83331,1.2229,0.84639,0.75385,0.82781,0.51922,1.11882,0.99881,1.23093,0.000262513,0.000262513,0.000262513
56,9038.19,0.90393,0.8156,1.21809,0.83601,0.76638,0.83724,0.52354,1.13826,1.07778,1.23086,0.000246801,0.000246801,0.000246801
57,9199.36,0.88344,0.80029,1.20346,0.85427,0.78138,0.83735,0.52485,1.12271,0.94767,1.22959,0.000231088,0.000231088,0.000231088
58,9360.4,0.89579,0.80512,1.20846,0.85108,0.77728,0.83917,0.53454,1.09095,0.94928,1.21213,0.000215375,0.000215375,0.000215375
59,9521.87,0.85556,0.77403,1.19332,0.83123,0.80054,0.8366,0.52841,1.10644,0.91181,1.21406,0.000199663,0.000199663,0.000199663
60,9682.94,0.84602,0.75575,1.18372,0.83406,0.80834,0.84032,0.53264,1.07744,0.9106,1.21764,0.00018395,0.00018395,0.00018395
61,9844.2,0.8261,0.61748,1.17955,0.86789,0.76012,0.84576,0.53495,1.08343,0.91381,1.21605,0.000168237,0.000168237,0.000168237
62,10005.1,0.80502,0.57985,1.17338,0.8633,0.77966,0.85092,0.54837,1.07309,0.89882,1.20831,0.000152524,0.000152524,0.000152524
63,10166,0.7774,0.56426,1.15277,0.80573,0.7906,0.84366,0.53233,1.08332,0.8508,1.2238,0.000136812,0.000136812,0.000136812
64,10326.8,0.7685,0.55603,1.14667,0.82789,0.80189,0.84675,0.54639,1.06624,0.86185,1.21905,0.000121099,0.000121099,0.000121099
65,10487.6,0.74295,0.53694,1.12496,0.82481,0.79738,0.84927,0.54526,1.0601,0.80954,1.21332,0.000105386,0.000105386,0.000105386
66,10648.4,0.7366,0.52996,1.11968,0.8171,0.79387,0.84014,0.53583,1.08585,0.84838,1.23385,8.96736e-05,8.96736e-05,8.96736e-05
67,10809.2,0.73292,0.53306,1.11702,0.83517,0.81803,0.84808,0.54128,1.06243,0.81246,1.21853,7.39609e-05,7.39609e-05,7.39609e-05
68,10969.8,0.69976,0.51249,1.09733,0.87348,0.78927,0.84433,0.55012,1.05865,0.79375,1.21998,5.82481e-05,5.82481e-05,5.82481e-05
69,11130.4,0.69539,0.51094,1.09959,0.85212,0.80645,0.84354,0.55207,1.06502,0.80787,1.22316,4.25354e-05,4.25354e-05,4.25354e-05
70,11291.3,0.68977,0.50013,1.09223,0.85995,0.80333,0.84642,0.55137,1.07132,0.79815,1.2197,2.68227e-05,2.68227e-05,2.68227e-05
